Building Name,Filename,Coordinates,Date,Metadata tags,Notes/Description/Caption,,
Guion Hall,2822939304_fc641ed746_o,"30.613304326641657, -96.33995244628555",,,Guion Hall,,*Note: 1918-1971
Halbouty,2822125177_1382c1ef11_o.jpg,"30.619300533208783, -96.34088571667229",circa 1930,,Halbouty under construction,,
Halbouty,2822957088_9dfb1a2e61_o.jpg,"30.619300533208783, -96.34088571667229",circa 1930,,Halbouty under construction with donkeys,,
Halbouty,2822960628_4da04d0343_o.jpg,"30.619300533208783, -96.34088571667229",,,Halbouty without the tower,,
Halbouty,3963970276_127f6e10b8_o.jpg,"30.619300533208783, -96.34088571667229",,,Halbouty in color,,
Hart Hall,4113624068_f10cf48b83_o.jpg,"30.61425157444779, -96.34061237442522",1931,,photo of Hart Hall,,
Heaton Hall,4113485258_10d2c03e5e_o,"30.616737310941943, -96.34225816896013",1980s,,Heaton Hall,,
Hollywood Shacks,4666881440_830bb53661_o.jpg,"30.614830051832453, -96.34300923446717",,,Hollywood Shacks,,
Hollywood Shacks,3481073612_6037310ff6_o.jpg,"30.614830051832453, -96.34300923446717",,,Hollywood Shacks with snow,,
Horse Barn,3907326602_6b569181b3_o,"30.61653752428546, -96.33597597807139",,,Horse Barn,,
Horse Barn,4156498950_9d4e6281af_o,"30.61653752428546, -96.33597597807139",,,Horse Barn,,
Horse Barn,4156498982_8894e1d0b4_o,"30.61653752428546, -96.33597597807139",,,Horse Barn,,
Horse Barn,4049916565_c09c787a33_o,"30.61653752428546, -96.33597597807139",,,Horse Barn,,
Hotard Hall,3546947886_9e32464475_o.jpg,"30.618258932083087, -96.34452259999999",,,Hotard Haunted House,,
Hotard Hall,3546947518_3fa69fe69d_o.jpg,"30.618258932083087, -96.34452259999999",,,Corner of Hotard Hall,,
Hotard Hall,3546946904_df9825f360_o.jpg,"30.618258932083087, -96.34452259999999",1940,,Older photo of Hotard Hall,,
Infirmary,3546130415_0cd811bc5b_o.jpg,"30.61731709296075, -96.33976623398036",1895,,Front view of Infirmary,,"*Note: built in 1896; AFS says razed in 1932, but Francis was built on site in 1918. Was next to original natatorium and behind Bagley Hall."
Infirmary,4790464724_38fb2d45f9_o.jpg,"30.61731709296075, -96.33976623398036",1895,,Side view of Infirmary,,"*Note: built in 1896; AFS says razed in 1932, but Francis was built on site in 1918. Was next to original natatorium and behind Bagley Hall."
Kyle Field,4130778873_e706da37d6_o.jpg,"30.610110367593858, -96.34010409999999",,,Kyle field at night,,
Kyle Field,4151397398_8ff234c196_o.jpg,"30.610110367593858, -96.34010409999999",,,Kyle field under construction,,
Kyle Field,3257552253_d73c18f78b_o.jpg,"30.610110367593858, -96.34010409999999",1920s,,Players playing at Kyle field,,
Kyle Field,2831611656_fefa5752a3_o.jpg,"30.610110367593858, -96.34010409999999",,,12th Man on Kyle field,,
Kyle Field,2831610658_ced27d31fb_o.jpg,"30.610110367593858, -96.34010409999999",1929,,Kyle field getting redone? (progress report),,
Law Hall,4755727786_2e18dec8c6_o.jpg,"30.614808940211795, -96.34320604690157",1937,,Roosevelt visit to TAMU with Law Hall in background,,*Note: Law and Puryear 1928-1997
Law/Puryear Hall,4114763031_7beb5a7585_o.jpg,"30.614808940211795, -96.34320604690157",1930,,Photo of Law/Puryear Hall,,*Note: Law and Puryear 1928-1997
Law/Puryear Hall,4115533628_edafa7d1d9_o.jpg,"30.614808940211795, -96.34320604690157",1930,,Aerial photo of Law/Puryear Hall,,*Note: Law and Puryear 1928-1997
Law/Puryear Hall,4115533566_4c11205934_o.jpg,"30.614808940211795, -96.34320604690157",1955,,Photo of Law/Puryear Hall with student/bikes,,*Note: Law and Puryear 1928-1997
Law/Puryear Hall,4114763021_384606d506_o.jpg,"30.614808940211795, -96.34320604690157",1937,,Law/Puryear Hall with old cars,,*Note: Law and Puryear 1928-1997
Legett Hall,4174727674_a47e543749_o.jpg,"30.616418697603795, -96.34232124693541",,,Side view of Legett Hall,,
Legett Hall,4173970215_1128cec8c4_o.jpg,"30.616418697603795, -96.34232124693541",,,Legett Hall with bicyles,,
Mechanical Hall,4794318958_ba0538b119_o.jpg,"30.616241197914977, -96.34110051333646",,,Mechanical Hall,,
Mechanical Hall,4793687103_64d45fb5cd_o.jpg,"30.616241197914977, -96.34110051333646",,,Interior of Mechanical Hall,,
Mechanical Hall,4173816231_b69a861a88_o.jpg,"30.616241197914977, -96.34110051333646",,,Mechanical Hall before 2 story addition,,
